Article-Link,Article-Gist,Article-Content
Esports Federation of India announces 18-member team for Hangzhou 2022 Asian Games,"The Esports Federation of India (ESFI) has announced an 18-member team for Hangzhou 2022 Asian Games, where the sport will make its debut.","Esports was part of the 2018 Asian Games programme as a demonstration sport but will be a medal sport in Hangzhou, with eight medals to fight for in FIFA22, PUBG Mobile, Arena of Valor, Dota 2, League of Legends, Dream Three Kingdoms 2, HearthStone and Street Fighter V .  However, ESFI has selected their squad only for five games after the eight-day National Esports Championship.  The winners of all the five games and runners-up of single player titles - FIFA22, Street Fighter V and Hearthstone - were selected to represent the country at the Asian Games.  Charanjot Singh and Karman Singh Tikka have been selected for FIFA 22 while Mayank Prajapati and Ayan Biswas will compete in Street Fighter V.  The duo of Shikhar Choudhary and Karthik Varma will try their luck in Hearthstone.  Team Temple Kings consisting of Akshaj Shenoy, Samarth Trivedi, Mihir Ranjan, Aditya Selvaraj, Aakash Shandilya and Sanindhya Malik will take part in the League of Legends competition while team Whoops featuring Moin Ejaz, Krish, Abhishek, Ketan, Darshan and Shubham are the DOTA 2 players.  No athletes were selected for PUBG Mobile and Arena of Valor as both games are banned in India while there weren’t enough teams to select for Dream Three Kingdoms 2.  ""We are really happy that we made it out of really competitive national qualifiers for the tournament,"" said Shenoy, who is the Team India League of Legends captain.  ""It’s an honour to be part of Team India at a global level and represent India at the prestigious Asian Games.  ""It’s a dream come true for all of us and the full credit for this feat goes to all my team members.""  The Hangzhou 2022 Asian Games is scheduled to be held from September 10 to 25.  However, an Agence France-Presse report had cited an unnamed Olympic Council of Asia official saying that the multi-sport event could be postponed to next year because of the COVID-19 pandemic."
World number one Świątek withdraws from Madrid Open citing injury,"World number Iga Świątek of Poland has withdrawn from the Women’s Tennis Association (WTA) Madrid Open because of a shoulder injury, with the main draw set to begin tomorrow.","The 20-year-old, who won the  first three WTA 1000 events of the season - Qatar Open, Indian Wells Masters, and Miami Open - is on 23-match winning streak.  She was set to play as the top seed in Madrid, the first WTA 1000 event of the clay season.  Leylah Fernandez of Canada has replaced Świątek as the number 17 seed.  ""Basically, it's not like we have some drama because everything is okay,"" Świątek said.  ""You can see in Stuttgart that basically I'm doing fine.  ""We just thought that this is the best decision for me to recover properly because I didn't really have time to recover after all these tournaments.  ""After each of them I had like two days to chill out and then I had to come back to work and adjust to so many different things in every place.  ""So basically, right now I feel like this is the best decision for us to get ready for Rome and have the peak of my form in Roland Garros.""  World number two Paula Badosa of Spain could be up against against two-time champion Simona Halep of Romania in the second round.  Number three seed Aryna Sabalenka of Belarus will be opening against American Amanda Anisimova, who she is yet to beat in three attempts.  Elsewhere, reigning US Open champion Emma Raducanu has landed in a section that also contains 2002-born peers Marta Kostyuk and Clara Tauson of Ukraine and Denmark, respectively.  Three-time champion Petra Kvitová of Czech Republic will start her campaign against Jil Teichmann of Switzerland."
"UCI ""forbids"" Russian and Belarusian participation in Balkan races","The International Cycling Union (UCI) has said that Russian and Belarusian teams are ""forbidden"" from competing in international events after Balkan Cycling Union President Vladimir Kuvalya said that athletes from the two countries can take part in races organised by them.","Kuvalya had said earlier that Russian and Belarusian athletes can race in all Balkan Championships.  ""I have decided that from now on the citizens of Russia and Belarus will be able to participate in Balkan races without restrictions and will be part of the Balkan Cycling Union until the problem is resolved,"" Kuvalya was quoted as saying by Russia's official state news agency TASS.  ""That is, Russians and Belarusians can participate in all Balkan Championships.""  However, the UCI has confirmed to insidethegames that this will not be allowed, and that the organisation has taken strong measures in the face of the situation in Ukraine.  ""The main points in relation to the present situation are that the participation of national selections from Russia and Belarus is forbidden and international events are forbidden from inviting Russian and Belarusian teams,"" the UCI told insidethegames.  ""Russian and Belarusian riders may nevertheless take part in international events if they are members of teams registered outside of Russia and Belarus.  ""They may also take part in events on an individual basis, when individual registration is provided for under the UCI regulations.  ""The UCI respectfully points out that the Balkan Cycling Union has no authority in respect of the above.""  On March 1, the UCI said that ""Russian and Belarusian national teams and national selections are not authorised to take part in any events on the UCI international calendar, with immediate effect.""  The governing body also stripped both countries of scheduled events with Russian and Belarusian emblems, names, acronyms, flags and anthems prohibited at all UCI competitions, including the national champions' jerseys from both nations.  These decisions were based on International Olympic Committee recommendations for all Russian and Belarusian athletes and officials to be banned from sporting events, following Russia’s invasion of Ukraine on February 24.  Since the invasion began, at least 2,729 civilians have been killed according to the United Nations, with more than 5.3 million forced to flee from Ukraine."
Former USA Hockey executive Carey named Premier Hockey Federation commissioner,"Reagan Carey has been selected to succeed Tyler Tumminia, who resigned after the 2021-2022 season, as the Premier Hockey Federation (PHF) league commissioner.","Carey had served as the general manager and director of USA Hockey’s women’s hockey teams previously.  She played a crucial role as the United States women’s team cruised to a gold medal at the Pyeongchang 2018 Winter Olympic Games apart from victories at World Championships and under-18 tournaments.  ""Throughout my career, I have been fortunate and honored (sic) to have played a part in growing and improving the landscape of women’s hockey at all levels,"" Carey said in a statement released by the PHF.  ""Through our work we will aim to honor past pioneers of our sport and inspire young girls to see a vibrant future in the game by ensuring that athletes who want to train and compete at the highest professional levels will always have a home at the PHF.""  Carey was also the director of fan development and youth marketing at National Hockey League side Atlanta Thrashers and the National Basketball Association's Atlanta Hawks.  Carey has also worked in various consulting roles and speaking events with a focus on leadership, performance, alignment and culture.  She has captained ice hockey and volleyball teams during her time at Colby College, where she graduated with a sociology degree in 2001.  Prior to joining USA Hockey in 2010, Carey was the director of fan development and youth marketing for both the NHL's Atlanta Thrashers and the NBA's Atlanta Hawks.  Carey is set to be the third commissioner of the league, founded in 2015.  Dani Rylan, who was the co-founder of the league formerly known as National Women’s Hockey League, was its first commissioner and stepped down in October 2020.  Tumminia followed Rylan first as interim commissioner before taking up a full-time role in August 2021.  Carey’s term is set to begin on May 10."
Olympic figure skating silver medallist Divín dies,Figure skater and 1960 Winter Olympic silver medallist Karol Emil Divín has died aged 86.,"Divín represented Czechoslovakia throughout his career and participated in three Olympic Winter Games.  He finished fifth in Cortina d'Ampezzo in 1956 and fourth at Innsbruck 1964.  At the 1960 Games in Squaw Valley - now Palisades Tahoe - Divín came second in the men's singles.  Apart from the Olympic medal, Divín was a European champion in 1958 and 1959 and won silver at the 1962 World Figure Skating Championships in Prague.  He also earned five European Championship bronze medals and one at the World Championships in 1964.  ""I will always have it in my head as I watched it at various championships on television,"" recalled Jiří Daler, Olympic cycling champion and member of the Czech Olympic Committee Board.  ""The crescent that rode stuck in my memory the most.  ""We met at various events, announcing the best athletes and the like.  ""He was always nice to meet him.  ""But lately he has been bad at it.""  After retiring from skating, Divín pursued coaching in Finland and Canada for several years.  Two-time Olympic silver medallist Brian Orser of Canada and 2013 European Championship bronze medallist Michal Březina of the Czech Republic were among the athletes he coached."
Defending champion Sabalenka suffers early exit at Madrid Open,"It was a day of mixed fortunes for the big names as world number four and defending champion Aryna Sabalenka exited the Women’s Tennis Association (WTA) Madrid Open after going down to Amanda Anisimova of United States 2-6, 6-3, 4-6.","Sabalenka, who is from Belarus, is allowed to play on the WTA Tour as a neutral player but will be banned from Wimbledon over the invasion of Ukraine.  Meanwhile, world number two Paula Badosa of Spain crushed Veronika Kudermetova of Russia 6-3, 6-0 while Marie Bouzkova of the Czech Republic surprised one and all by knocking out number five seed and compatriot Karolína Plíšková.  It took one hour and 55 minutes for Anisimova to beat Sabalenka to extend her head-to-head record against the Bealrusian to 4-0, with three of them coming on clay.  ""It's always enjoyable to accept the challenge, even when it's a tough match, and push yourself and see how far you can go,"" Anisimova said after the win.  ""I enjoy these matches, even though they're very tough ... especially when you get to win them.""  Switzerland’s Belinda Bencic and American Coco Gauff qualified to the second round with straight set victories.  Number 11 seed Bencic beat Romania's Irina-Camelia Begu 6-4, 6-1, dropping just five games in the process to set up a meeting with Karolina Muchova of Czech Republic.  On the other hand, it was a first win in Madrid for Gauff who beat Anna Karolína Schmiedlová os Slovakia 6-0, 6-2 in an hour.  The teenager who made her Madrid debut last year was beaten in the first round by Plíšková.  Two-time Grand Slam champion Simona Halep of Romania had a routine 6-2, 6-3 win over Zhang Shuai of China while former world number one Victoria Azarenka - another neutral player of Belarusian origin - survived a scare to beat Viktorija Golubic of Switzerland 7-6, 6-4."
Latest FIFA World Cup ticket sales period sees 23.5 million requests,"A total of 23.5 million requests have been put forward in the latest random selection draw ticket sales period for Qatar 2022 FIFA World Cup, which was closed yesterday.","Qatar 2022 has promised to make the World Cup “truly global” and the “most compact” edition of the event with football fans from the host nation and around the globe requesting for tickets.  Apart from home fans, the top requests have come from supporters of Argentina, Brazil, England, France, Mexico, Saudi Arabia, and the USA.  Fixtures between Argentina and Mexico, Argentina and Saudi Arabia, England and USA and Poland against Argentina were in demand.  The FIFA Ticketing department will now verify if ticket requests meet the sales regulations and household restrictions prior to allocating them.  A random selection draw will be made if requests have exceeded the available ticket inventory.  Those who have applied will receive a notification on the outcome by email from May 31, which coincides with the start of the scheduled payment period.  Visa cards can be used for payment for Qatari nationals and those outside while other payment cards will be accepted for international fans.  Successful applicants who complete payment can apply for a Hayya Card - the entry permit to the State of Qatar and stadium access - via Qatar2022.qa.  The next ticket sales period will be announced shortly.  The FIFA World Cup in Qatar is scheduled to be held from November 21 to December 18."
Australia and New Zealand decide against sending athletes to Hangzhou 2022,The Australian Olympic Committee (AOC) has confirmed that its athletes will not be competing at the Hangzhou 2022 Asian Games.,"""We don't have any athletes going,"" an AOC spokesman was quoted as saying by Reuters.  The New Zealand Olympic Committee also confirmed that it will not be sending athletes to China.  The Olympic Council of Asia had invited a total of 300 athletes and 150 support staff from nations in Oceania.  Outgoing AOC President John Coates, is also an International Olympic Committee vice-president, had been among those in favour of Australian representation at the Asian Games.  The Hangzhou is scheduled to be held from September 10 to 25.  However, some doubt remains over the status of the multi-sport event because of the COVID-19 pandemic.  A coronavirus outbreak in Shanghai, 110 miles away from Hangzhou, has been a major concern and seen Shanghai be locked down.  Most major events scheduled to be held in China largely been cancelled or postponed due to the pandemic, with the exception of Beijing 2022 Winter Olympics.  Beijing 2022 was held in a ""closed-loop management system"" with tests being carried out regularly and all those inside the loop kept away from the Chinese public."
ITTF launches quarterly digital magazine for fans,The International Table Tennis Federation (ITTF) has launched a digital magazine for its fans featuring exclusive table tennis content and images.,"Information on present day players, promising talents and personalities of yesteryear, facts and figures highlighting recent events on the calendar, and news about the organisation will be available on the magazine.  A quarterly release in July, October and January has been planned after releasing the first edition this month.  Focus was on exceptional individual players for the first edition.  Tokyo 2020 Paralympic bronze medallist Aida Dahlen of Norway is the cover star of the first edition.  Dahlen, who has two World Championships medals, won the Norwegian Women’s Para Athlete of the Year award at the Sports Gala South following her Tokyo heroics.  The first edition also saw features on ITTF President Petra Sörling and multiple Olympic medallists Jun Mizutani and Ding Ning of Japan and China, respectively.  A special story featuring legendary 86-year-old table tennis coach Hans Soova was also available.  Exciting teenagers from Europe and South America like Iulian Chirita, Annett Kaufmann, Santiago Lorenzo and Daniela Fonseca also had sections on them."
"Gohar, Coll through to semi-finals of World Squash Championships",Egypt’s world number one Nouran Gohar cruised past compatriot Rowan Elaraby 3-0 to reach the semi-finals of the World Squash Championships in Cairo.,"Last year’s runner-up Gohar showed no mercy as she took the first game 11-1.  While Elaraby made a decent start to the second game, Gohar sealed an 11-5 win before quickly wrapping the match up with an 11-4 win in the third.  ""Obviously Rowan is one of the most dangerous players on tour, so I had this in the back of my mind,"" Gohar said after the match.  ""She’s been playing really good squash lately, so I was just trying to play my best.  ""She can chop anything in the nick or in the front, so it can be really tricky to play against her.  ""I had my targets on tonight and just tried to be sharp and play good squash.""  In the second women’s quarter-final, Amanda Sobhy came from a game down to beat Egypt’s Nada Abbas 3-1.  Among men, world number one Paul Coll of New Zealand dug deep against Egyptian Tarek Momen in a classic to register a 3-2 win.  Momen, who raced to a 7-3 lead in the opener, was shocked as Coll took the game 11-8.  But it was the second game that killed Momen’s morale after the Egyptian lost two game balls to go down 13-11.  Momen fought hard to edge the third game 12-10 and the fourth with a crushing 11-2 win, sending the match into a decider.  A controversial stroke decision in Coll’s favour helped the New Zealander seal the fifth game 11-9, and with it the match.  ""It was a tough match, it’s very hot out here and he was taking me into all corners of the court and wasn’t missing,"" Coll said after the win.  ""I’m just very happy to claw my way out of that one!  ""Apologies for making everyone run late, but that’s squash! It’s the battles, that’s what we come here for, it’s what we love.  ""So cheers for the boos, I really appreciate it!”  In the other men’s quarter-final, Egypt’s Mohamed El Shorbagy beat compatriot Fares Dessouky 3-0.  The next round of quarter-finals is scheduled for tomorrow."
Defending world squash champion El Sherbini knocks out Perry,Defending world champion Nour El Sherbini of Egypt beat Sarah-Jane Perry of England 3-1 to reach the semi-finals of the World Squash Championships in Cairo.,"The world number two cliched the first game 11-5 before Perry levelled with an 11-8 win.  However, El Sherbini rediscovered her mojo and the lead with a 11-7 win in the third game.  Perry once again clawed her way back in the fourth game before El Sherbini sealed victory with a hard-fought 14-12 win.  ""I’m really happy I’m through,"" said after her win.  ""SJ is one of the smartest, if not the smartest, players on tour.  ""She’s very skilful and she was moving really well today.  ""She broke my rhythm a little and I just tried to fight and stick in every point. I’m really happy to sneak the last game.""  In the other women’s game, Nour El Tayeb of Egypt produced arguably her finest performance since returning to the tour to down world number three and compatriot Hania El Hammamy 3-1.  Among men, Egyptian Ali Farag sealed a semi-final spot by beating compatriot Marwan ElShorbagy 3-0.  ElShorbagy, who won the previous four matches against Farag, could not replicate his head-to-head form in recent matches.  While ElShorbagy started well, Farag took the first game 11-7 before getting the second game 11-5.  Signs of comeback in the third game from ElShorbagy was quickly snuffed as Farag sealed the deal with a 11-7 win.  ""I couldn’t have asked for a better setup to produce my best squash,"" Farag said.  ""CIB are taking the sport to another level that makes us feel very proud to be on court.  ""I’ve got every single member of my support team, from the age of zero to 30 here with me.  ""Everyone who’s here, I can’t be more inspired, I guess.  ""And I hope I can keep up this brand of squash!""  In the other men’s game, Egyptian Mostafa Asal got the better of Peru’s Diego Elías 3-1.  The semi-final matches are scheduled to be held tomorrow."
Olympic champions dominate at ICF Canoe Sprint World Cup in Račice,Olympic champions had an easy day out on the first day of the International Canoe Federation (ICF) Canoe Sprint World Cup in Račice.,"New Zealand’s Lisa Carrington, who is a five-time Olympic champion, was in great form as she reached the women’s K1 500 final in one minute 49 seconds, before helping K4 500 teammates to seal a spot in the medal race.  The Polish women’s K4 500 crew featuring Karolina Naja and Anna Pulawska, who bagged a bronze in Tokyo, also showed their class by qualifying for the final in 1:30.91.  ""We did what we needed to do to win,"" Pulawska said.  ""We have been together maybe five times in a boat.  ""We don’t know if this will be the boat for Paris, but we will see.""  China’s Shixiao Xu and Mengya Sun continued their form from Tokyo by finishing three seconds ahead of the next best team during the women’s C2 500 heats.  The Spanish are setting the standards in the men’s C2 500 category as both teams won their respective qualifying heats.  Cayetano Garcia and Pablo Martinez stopped Tokyo C2 1000 silver medallists, Hao Liu and Pengfei Zheng of China in 1:39.53, before Joan Moreno and Adrian Sieiro ended the challenge from reigning world champions Nicolae Craciun and Daniele Santini from Italy in 1:39.81.  ""This was such an important race for us because we get a chance to see what the international level is like,"" Moreno said.  ""We see everyone competing with the same objective.  ""We’ve been together for about one year. We are getting stronger all the time.  ""The 500 is much better for us, because we are very fast guys, and the 1000 was quite long for us.""  Brazil’s Isaquias dos Santos got the better of Germany’s reigning world champion Conrad Scheibner in 3:59.53 in the men’s C1 1000, despite not being the fastest in the heats.  In the men’s K1 1000, Italy’s K2 partners Samuele Burgo in 3:32.15 and Andrea Schera in 3:31.51, won their respective semi-finals to progress to Saturday’s final.  A total of 11 gold medals will be decided as the competition is scheduled to continue tomorrow."
Belgium women's team go down as men's team win thriller in FIH Pro League,Belgium’s women’s hockey team lost to Spain 1-2 while the men’s team triumphed 3-2 on penalties at the International Hockey Federation (FIH) Pro League match at the Sportcentrum Wilrijkse Plein-Antwerpen in Belgium.,"It was Belgium women who broke the deadlock in the fourth minute thanks to a penalty corner from Ambre Ballenghien.  However, Spain began to pile on the pressure soon after as Laura Barrios equalised in the 42nd minute.  A scramble in front of the goal led to multiple shots before the rebound fell to Barrios who tapped it in.  Less than 10 minutes after that, the sensational Georgina Olivia scored Spain’s second and the winner.  Oliva, who picked up the ball on the edge of the circle, dinked it over before firing it home with precision.  Barbara Nelen tried her best to inspire a Belgium comeback, but Spain’s defence remained determined until the end.  ""I am really happy because we finally won,"" Olivia said after the game.  ""All the hard work has paid off and we got the result.  ""We didn't start well but we got momentum and flow later in the game but tomorrow we must do that for the complete game.""  Spain moved to fifth in the FIH Pro League standings after today’s win while Belgium dropped to seventh position.  Among men, Belgium edged Spain 3-2 on penalties after the match ended 3-3.  Marc Reyne scored the first goal for Spain in 15 minutes after connecting a cross from former Argentine national Joaquin Menini.  Spain extended their lead through Marc Miralles in the third quarter.  A minute later, a blunder at the back helped Belgium claw one back through John-John Dohmen.  However, Spain restored their two-goal lead when Alvaro Iglesias converted a mis-hit penalty corner.  In the final quarter, Tom Boom shined for the Olympic champions scoring two goals in the 47th and 55th minute to send the game into penalties before Belgium clinched the points after a 3-2 shoot-out victory.  The Belgium men’s team moved to sixth in the FIH Pro League after the win, just ahead of Spain who are in seventh place."
Gohar to face El Sherbini in World Squash Championships final,World number one Nouran Gohar of Egypt secured a place in the final of the World Squash Championships in Cairo after a 3-1 win over world number four Amanda Sobhy of the United States.,"Sobhy’s tactical approach to some attacking play from Gohar helped the American to bag the first game 11-5.  But Gohar responded quickly with a convincing 11-3 win in the second.  At one game each, both players were going at it with intensity but Gohar triumphed 11-6 to take a vital lead.  The same intensity was maintained in the fourth game with both players producing some sensational shots.  Sobhy saved two match balls to make it 12-11 but Gohar was on a different level as she closed the match with a 15-13 win.  ""It wasn’t easy for sure,"" Gohar said.  ""I’ve played Amanda at every tournament, it has been a habit.  ""I think she kept her best to the last and most important tournament.  ""Obviously, she played really well.  ""It was a very tough match, but it’s good to have a match like this, just before tomorrow, to get some nerves out.""  In the other semi-final, defending champion Nour El Sherbini of Egypt got the better of compatriot Nour El Tayeb 3-1 to set up a mouth-watering clash against Gohar.  Among men, Mohamed El Shorbagy shocked world number one Paul Coll of New Zealand 3-2 to reach the final.  El Shorbagy was more composed than Coll at the start as he rightly took the first game 11-4.  However, Coll raised his game to take the second game 11-8.  El Shorbagy, who had three game balls in the third game, surprisingly went down 10-12.  But the Egyptian’s showed resilience to take the fourth game 11-8 to force the match into a fifth game.  In the decider, El Shorbagyplayed some attacking shots to seal a memorable 11-7 win.  In the other men’s semi-final, Egypt’s Ali Farag beat compatriot Mostafa Asal 3-2."
Women Olympic champions cruise to victory at ICF Canoe Sprint World Cup,Five-time Olympic champion Lisa Carrington of New Zealand cruised to victory in the women’s K1 500 in the International Canoe Federation (ICF) Canoe Sprint World Cup in Račice.,"The Tokyo 2020 gold medallist crossed the line in 1 min, 47.41 sec.  ""Tokyo was a really big event, so I took a bit of a break, a couple of months, before beginning that build to Paris,"" Carrington said.  ""It’s nice to finally be back in Europe, three years since I raced a World Cup, but the nerves still seem the same.""  As expected, other Olympic medallists also had it easy in Czech Republic on Saturday.  China’s Shixiao Xu and Mengya Sun, also gold medal winners in Tokyo, dominated a quality C2 500 women’s field to finish first in 1:53.64.  Poland’s Tokyo 2020 bronze medallists with two new crew members comfortably won against Span and China in the women’s K4 500 crew in 1:32.11.  ""It was a great race for us, our first final as a team, and now we know what we need to do to be better,"" said Anna Pulawska.  ""We were a little bit surprised, because this is a new team, so we didn’t know what we could do, but now we know.""  Meanwhile, Ukraine’s Liudmyla Luzan bagged an emotional gold medal in the women’s C1 1000 in 4:25.31.  Among men, Portugal’s Fernando Pimenta, the Spanish men’s K4 and C2 500 crew of Cayetano Garcia and Pablo Martinez also secured wins in Olympic class races.  Pimenta, who bagged a bronze in Tokyo in the men’s K1 1000, was battling with Australian Tom Green before crossed the finish line to claim gold in 3:24.44.  With their win in 1:37.87, Garcia and Martinez also booked their tickets to the ICF World Championships this year.  ""It was such a hard race, we have such a high level in Spain, it makes us much stronger here at the world cup,"" Martinez said.  ""The Olympics are our main objective, and we won’t step until we get it,"" teammate Garcia said.  The last day of the competition is set to be held tomorrow."
"Belgium thrash Spain in FIH Pro League, China women stun England",England’s men’s hockey team came out on top against France in a thrilling encounter that saw nine goals while the women’s team went down to China on penalties in the International Hockey Federation (FIH) Pro League match at the Lee Valley Hockey and Tennis Centre.,"The men's team starred in a 5-4 comeback victory while the women's team lost the shootout 4-3.  At the Sportcentrum Wilrijkse Plein-Antwerpen, Belgium’s men’s team beat Spain 5-1 before the women’s team eased past the Spaniards 3-0.  The German men’s team battered Argentina 6-3, but the women’s team suffered a narrow 2-1 defeat.  Matt Ramshaw, Sam Ward and David Goodfield were on target for England’s men’s team.  After going 2-0 up, in eight minutes, France levelled the scores before half-time thanks to Victor Charlet and Gaspard Baumgarten.  England took the lead again before a hat-trick from Baumgarten swung the momentum in France’s favour.  But Ramshaw scored again for England before Ward sealed the victory with a minute to spare.  Tessa Howard scored the women’s opener in the 39th minute, but China equalised in the last play thanks to a penalty corner from Bingfeng Gu.  Hannah Martin and Grace Balsdon missed for England in the shootout, while China scored all their efforts.  The result means China bagged two points - their first of the season.  Tom Boom starred with a hat-trick for Belgium’s men’s team with Tanguy Cosyns and Nelson Onana also on target.  Ignacio Rodriguez scored the only goal for Spain.  Delphine Marien, Ambre Ballenghien and Abigail Raye scored in the first, second and fourth quarter as Belgium’s women’s team secured a comfortable win.  While Argentina’s men’s team broke the deadlock against Germany though Nicolas Keenan in the second minute, Tom Grambusch equalised for the Germans before Raphael Hartkopf put them in the lead.  Thies Prinz then added one more before Gonzalo Peillat scored from a penalty corner to give them a three-goal lead.  Peillat scored again to make it 5-1 for the Germans before Thomas Habif reduced the deficit in the 50th minute.  However, it lasted only a minute as Prinz scored the sixth and final goal for Germany.  While Santiago Tarazona scored for Argentina in the 55th minute, the Germans held on to their nerves to win the match.  Argentina’s women’s team made up for the disappointment with a 2-1 win.  Eugenia Trinchinetti opened the scoring for Argentina in the 20th minute before a Viktoria Huse penalty corner levelled the score.  Ten minutes later, Agustina Gorzelany scored the winner from a penalty corner."
Argentina women continue FIH Pro League winning streak,Argentina’s women’s team showed their class once again as they beat Germany 3-1 in the International Hockey Federation (FIH) Pro League while the men’s team suffered a 2-4 defeat to Germany on penalties.,"At the Lee Valley Tennis and Hockey Centre in London, England’s men’s team got the better of France again as they recorded a 4-1 win before China surprised the women’s team with a 3-1 victory.  Argentina’s women’s team had a dream start as Maria Granatto scored the opener in the first minute of the game.  In the 10th minute, María Jimena Cedrés Lobbosco doubled the lead for Argentina from an Agustina Albertarrio cross.  Nike Lorenz gave the Germans a glimmer of hope when she got one back in the 25th minute from a penalty corner.  However, Granatto restored the two-goal cushion in the third quarter to seal the victory for the South Americans.  ""We are very happy because we keep winning and that is important as we get closer to the World Cup,"" Argentina’s goalkeeper Belen Succi said after the game.  With the result, Argentina is on a 12-match winning streak and are top of the FIH Pro League while Germany are in fourth position.  Argentina's men’s team opened the scoring against Germany when Maico Casella scored from a penalty corner.  Marco Miltkau equalised for the Germans in the 42nd minute.  While both teams played some sensational hockey towards the end, the scoreline remained 1-1 after normal time.  Germany won the shootout 4-2 as Martín Ferreiro and Nicolás Keenan missed for Argentina.  Nick Bandurak scored two goals before half time to put England’s men’s team 2-0 up against France.  The third quarter saw more chances for England, who failed to convert them.  In the fourth quarter, David Condon and Sam Ward added two more for England to complete the rout.  Timothée Clément scored a consolation for France.  England are now in fifth position, while France are in seventh position.  The women’s game saw England take the lead through Grace Balsdon.  Gu Bingfeng levelled the score for China in the 22nd minute.  The Chinese were rewarded for their patience in the third quarter when Zhang Zindan was able to scoop the ball over for the second goal.  Chen Yanhua put the game and the result beyond doubt when she flicked the ball past Sabbie Heesh to seal the victory."
"Szilágyi, Bashta clinch sabre golds at FIE Grand Prix in Padua",Three-time Olympic gold medallist Áron Szilágyi of Hungary won the International Fencing Federation (FIE) Grand Prix in Padua to take home the historic Luxardo Trophy for the third time in his career.,"Szilágyi beat Bongil Gu of South Korea 15-14 to clinch the sabre title.  Earlier, Szilagyi posted a convincing 15-9 win over Eliott Bibi of France in the semi-finals.  Meanwhile, Bongil had to sweat it out 15-14 against Bolade Apithy, also of France in the semi-finals.  Szilágyi’s teammate András Szatmári, who won a team bronze at the Tokyo Olympics, lost 11-15 to Apithy in the quarter-finals.  World champion Oh Sang-uk and individual Tokyo 2020 bronze medallist Kim Jung-hwan also exited the tournament in the early stages.  Sang-uk went down to compatriot Kim Jun-ho 15-13 in the round of 16 while Jung-hwan lost 10-15 to Dario Cavaliere of Italy in the round of 32.  Among women, Anna Bashta of Azerbaijan triumphed after defeating Risa Takashima of Japan 15-11 in the final.  Bashta had crushed another Japanese and multiple Asian Championships medallist Misaki Emura 15-9 in the semi-finals.  In the other women’s semi-finals, Takashima got the better of 2018 world champion Caroline Queroli of France 15-12.  Four-time world champion Olha Kharlan of Ukraine suffered a shock exit at the hands of South Korean Hayoung Jeon 14-15 in the round of 16.  Tokyo 2020 team bronze medallist Choi Soo-yeon of South Korea was also knocked out earlier in the quarter-finals as Queroli bagged a 15-10 win.  Tokyo 2020 gold medallist Sofia Pozdniakova and runner-up Sofya Velikaya were absent along with other Russian and Belarusian athletes, because of the war in Ukraine."
"El Sherbini, Farag defend World Squash Championships titles in Cairo",Defending champion Nour El Sherbini of Egypt bagged her sixth World Squash Championships title after beating compatriot and world number one Nouran Gohar 3-1 in the final.,"El Sherbini who enjoyed a 14-6 head-to-head record against Gohar clinched her title in 56 minutes.  It was Gohar who took the opening game 11-7 after some great winners from the middle of the court.  El Sherbini responded in style by taking the second game 11-7.  The win gave her the confidence to take the third game 11-8 before a hard-fought fourth game to seal the title with another 11-7 victory.  ""It’s always a dream for me to win this tournament and I wait for it every year,"" El Sherbini said afterwards.  ""I’m a bit emotional right now and it’s of course an unbelievable feeling.  ""It’s been very hard, the last couple of months, I can’t believe I’m standing here right now, the tournament is over, everything is over.""  In the men’s final, Egyptian Ali Farag defended his crown as he came from behind to beat compatriot Mohamed El Shorbagy 3-2 to reclaim the world number one ranking.  In a free flowing first game, El Shorbagy took the first game 11-9.  Farag responded to break El Shorbagy’s momentum to clinch the second game 11-8.  After taking a strong lead in the third game, El Shorbagy was back in the lead with a 11-7 win.  While both players made a number of errors in the fourth game, Farag got the fourth 11-9 to take the match into the fifth game.  The decider saw Farag in a different avatar as he crushed his compatriot 11-2 to successfully defend his title.  ""I was just telling Nour, I don’t know how I feel,"" Farag said.  ""Mixed emotions of joy and relief.  ""I’m really happy to be done with the tournament; the pressure we live through every day.  ""I didn’t come into this week with that pressure, but then the week started and I felt the pressure.  ""I’m super proud of my week, I had to go through a very tough draw."""
International Ice Hockey Federation announces eWorld Championship,"Virtual ice hockey fans can rejoice as the International Ice Hockey Federation (IIHF) has announced an esports competition called IIHF eWorld Championship, two years after the launch of IIHF Esport Fan Championship.","The inaugural IIHF Esport Fan Championship in 2020 saw Finnish duo of Erik 'Tilantekija' Tammenpaa and Joel 'Rottadee' Myllymaki beat Nordic rivals Sweden for the title.  ""With the launch of the IIHF eWorld Championship, we are aiming for this to be the start of a new program of eSport offerings in the future,"" said IIHF President Luc Tardif.  Additionally, the IIHF has increased the number of competing nations from 16 to 22 to create more opportunities for ice hockey esports competitions.  The eWorld Championship will begin with the online qualification phase on June 16 to determine 44 national champions - 22 on PlayStation and 22 on Xbox.  The group stage is scheduled for early July after the national champions are confirmed.    The 22 nations will compete in two groups of five and two groups of six with the top two squads of each group progressing to the playoffs.  The playoffs is scheduled to start a week later with all group stage games and knockout fixtures set to be streamed live for ice hockey fans around the globe.  Those interested in taking part in the 2022 IIHF eWorld Championship can register here.  All interested players needs to hold the nationality of the participating nations, be at least 16 years old, own either an Xbox One or PlayStation 4 and should also have the game NHL™ 22.  If the correct version of the game is available, PlayStation 5 or Xbox Series X|S can also be used."
